effect_var,cause_var,E,tau,tp,nn,n_lib,n_pred,rmse,te,pval,cause_pair,order,family_w_n,family,scientific_name,common_jp_name,coastal_fish,avr_identity,avr_lod,water_area,habitat,depth_s,depth_d,n_reads,freq
water_temp,Taxa0541,11,1,-4,12,349,349,0.4834281919248081,0.013144173884690247,0.0445,water_temp_CausedBy_Taxa0541,Perciformes,412_Labridae,Labridae,Stethojulis interrupta terina,カミナリベラ,C,99.99,HIGH,S,reef-associated,NA,18,32639,227
water_temp,Taxa0419,8,1,-2,9,403,403,1.1261277311323197,0.02094018249091928,0.0095,water_temp_CausedBy_Taxa0419,Perciformes,364_Carangidae,Carangidae,Trachurus japonicus,マアジ,C,99.98-100,LOW-MODERATE,BS,pelagic-oceanic,0,1050,75049,208
water_temp,Taxa0837,10,1,-6,11,367,367,0.581972864580497,0.010590620128699602,0.0245,water_temp_CausedBy_Taxa0837,Tetraodontiformes,507_Ostraciidae,Ostraciidae,Ostracion cubicus,ミナミハコフグ,C,99.99,LOW,S,reef-associated,1,280,"27,258",187
water_temp,Taxa0562,11,1,-5,12,349,349,1.177550391838852,0.013310052311928111,0.038,water_temp_CausedBy_Taxa0562,Perciformes,417_Stichaeidae,Stichaeidae,Zoarchias neglectus,コモンイトギンポ,C,100,HIGH,S,demersal,NA,NA,76164,181
water_temp,Taxa0016,11,1,-3,12,349,349,0.7556993573062648,0.011847307625041437,0.004,water_temp_CausedBy_Taxa0016,Anguilliformes,079_Muraenidae,Muraenidae,Enchelycore pardalis,トラウツボ,C,99.97,HIGH,S,reef-associated,8,60,18932,153
water_temp,Taxa0476,8,1,-2,9,403,403,1.0012976556422781,0.0386203495474441,0.0105,water_temp_CausedBy_Taxa0476,Perciformes,383_Pempheridae,Pempheridae,Pempheris schwenkii,ミナミハタンポ,C,99.99,LOW,S,reef-associated,5,40,47249,153
salinity,Taxa0451,6,1,-3,7,434,434,0.8227223000512969,0.026242749163304546,0.026,salinity_CausedBy_Taxa0451,Perciformes,378_Sparidae,Sparidae,Acanthopagrus schlegelii,クロダイ,C,100,LOW,BS,demersal,15,NA,"621,772",504
salinity,Taxa0664,8,1,-5,9,396,396,1.1148764357544236,0.04675425441997054,0.0225,salinity_CausedBy_Taxa0664,Perciformes,460_Gobiidae,Gobiidae,Chaenogobius annularis,アゴハゼ,C,99.99,HIGH,F,demersal,NA,NA,421791,471
salinity,Taxa0207,6,1,-3,7,434,434,0.6302714994531646,0.029023781054840936,0.0445,salinity_CausedBy_Taxa0207,Atheriniformes,251_Atherinidae,Atherinidae,Atherion elymus,ムギイワシ,C,100,HIGH,S,reef-associated,0,3,"432,349",449
salinity,Taxa0286,8,1,-2,9,396,396,1.1432364424103711,0.035616268647577776,0.0135,salinity_CausedBy_Taxa0286,Scorpaeniformes,304_Scorpaenidae,Scorpaenidae,Sebastes spp.,メバル属複合種群,C,99.4-100,LOW-MODERATE,S,demersal,9,600,112058,437
salinity,Taxa0201,8,1,-5,9,396,396,1.1331805294611685,0.030206007097343945,0.017,salinity_CausedBy_Taxa0201,Mugiliformes,245_Mugilidae,Mugilidae,Mugil cephalus,ボラ,C,99.98,HIGH,FBS,benthopelagic,0,120,"302,196",416
salinity,Taxa0505,8,1,-5,9,396,396,1.0138927634120258,0.0372086745334633,0.0405,salinity_CausedBy_Taxa0505,Perciformes,405_Cheilodactylidae,Cheilodactylidae,Cheilodactylus zonatus,タカノハダイ,C,99.98,LOW,S,benthopelagic,NA,NA,76886,409
salinity,Taxa0324,11,1,-3,12,342,342,1.1021269529238575,0.009427118745687663,0.048,salinity_CausedBy_Taxa0324,Scorpaeniformes,320_Cottidae,Cottidae,Pseudoblennius marmoratus,アヤアナハゼ,C,99.99,HIGH,S,demersal,NA,NA,154150,400
salinity,Taxa0601,6,1,-3,7,434,434,0.8459256984870298,0.03210186524757455,0.0165,salinity_CausedBy_Taxa0601,Perciformes,447_Blenniidae,Blenniidae,Parablennius yatabei,イソギンポ,C,99.97,HIGH,S,demersal,NA,NA,131707,379
salinity,Taxa0584,11,1,-6,12,342,342,0.521886263758216,0.021223193835289256,0.028,salinity_CausedBy_Taxa0584,Perciformes,445_Tripterygiidae,Tripterygiidae,Enneapterygius etheostomus,ヘビギンポ,C,99.97,HIGH,S,demersal,0,21,345006,378
salinity,Taxa0594,10,1,-5,11,360,360,1.1620389448562756,0.01715557156596556,0,salinity_CausedBy_Taxa0594,Perciformes,447_Blenniidae,Blenniidae,Entomacrodus stellifer stellifer,ホシギンポ,C,100,HIGH,S,reef-associated,NA,NA,160278,377
salinity,Taxa0599,8,1,-1,9,396,396,0.8270149486075588,0.04218714119192127,0.0075,salinity_CausedBy_Taxa0599,Perciformes,447_Blenniidae,Blenniidae,Omobranchus elegans,ナベカ,C,99.99,HIGH,S,demersal,NA,NA,101540,292
salinity,Taxa0337,11,1,-1,12,342,342,0.8353754282619784,0.0193007741913451,0.04,salinity_CausedBy_Taxa0337,Perciformes,332_Moronidae,Moronidae,Lateolabrax latus,ヒラスズキ,C,99.98,HIGH,S,demersal,NA,NA,"55,880",228
salinity,Taxa0541,8,1,-1,9,396,396,0.6414696232026178,0.021059047173893453,0.0145,salinity_CausedBy_Taxa0541,Perciformes,412_Labridae,Labridae,Stethojulis interrupta terina,カミナリベラ,C,99.99,HIGH,S,reef-associated,NA,18,32639,227
salinity,Taxa0049,6,1,-1,7,434,434,0.7841532127861529,0.06468946317479035,0.008,salinity_CausedBy_Taxa0049,Clupeiformes,097_Clupeidae,Clupeidae,Etrumeus teres,ウルメイワシ,C,99.98,MODERATE,NA,NA,NA,NA,65691,226
salinity,Taxa0325,6,1,0,7,434,434,0.6832620678843321,0.01822754412144184,0.0365,salinity_CausedBy_Taxa0325,Scorpaeniformes,320_Cottidae,Cottidae,Pseudoblennius percoides,アナハゼ,C,100,HIGH,S,demersal,NA,NA,52833,206
salinity,Taxa0837,6,1,-1,7,434,434,0.6323318046557905,0.021462590062174824,0.004,salinity_CausedBy_Taxa0837,Tetraodontiformes,507_Ostraciidae,Ostraciidae,Ostracion cubicus,ミナミハコフグ,C,99.99,LOW,S,reef-associated,1,280,"27,258",187
salinity,Taxa0795,11,1,-2,12,342,342,0.5273201349186817,0.01652473543529176,0.028,salinity_CausedBy_Taxa0795,Pleuronectiformes,492_Paralichthyidae,Paralichthyidae,Paralichthys olivaceus,ヒラメ,C,99.94,HIGH,S,demersal,10,200,17059,163
salinity,Taxa0484,8,1,-5,9,396,396,0.30192278272223433,0.03894786029221686,0.049,salinity_CausedBy_Taxa0484,Perciformes,391_Kyphosidae,Kyphosidae,Microcanthus strigatus,カゴカキダイ,C,99.99,HIGH,BS,reef-associated,1,140,17813,159
salinity,Taxa0054,6,1,0,7,434,434,0.8166017967294267,0.020456861290247486,0.0275,salinity_CausedBy_Taxa0054,Clupeiformes,097_Clupeidae,Clupeidae,Spratelloides gracilis,キビナゴ,C,100,HIGH,S,pelagic-neritic,NA,40,"186,442",148
wave_m,Taxa0752,8,1,-4,9,473,473,0.9308209250075614,0.002828694332084894,0.012,wave_m_CausedBy_Taxa0752,Perciformes,467_Siganidae,Siganidae,Siganus fuscescens,アイゴ,C,100,LOW,BS,reef-associated,1,50,"601,049",407
wave_m,Taxa0765,8,1,-5,9,473,473,0.926463574456871,9.385338670899884e-4,0.0475,wave_m_CausedBy_Taxa0765,Perciformes,470_Acanthuridae,Acanthuridae,Prionurus scalprum,ニザダイ,C,99.98,HIGH,S,reef-associated,NA,NA,101318,250
wave_m,Taxa0510,11,1,-3,12,440,440,0.972295080534855,1.4051508055774528e-4,0.0115,wave_m_CausedBy_Taxa0510,Perciformes,410_Embiotocidae,Embiotocidae,Ditrema temminckii temminckii,ウミタナゴ,C,100,LOW,NA,NA,NA,NA,"116,929",241
wave_m,Taxa0325,10,1,-3,11,451,451,0.9377607262830708,4.5238354478048526e-4,0.0275,wave_m_CausedBy_Taxa0325,Scorpaeniformes,320_Cottidae,Cottidae,Pseudoblennius percoides,アナハゼ,C,100,HIGH,S,demersal,NA,NA,52833,206
wave_m,Taxa0480,11,1,-3,12,440,440,1.0949426315913353,3.9742574016404797e-4,0.0045,wave_m_CausedBy_Taxa0480,Perciformes,391_Kyphosidae,Kyphosidae,Kyphosus bigibbus,ノトイスズミ,C,99.99,HIGH,S,reef-associated,2,NA,42837,190
wave_m,Taxa0795,10,1,-4,11,451,451,1.0008518262728836,0.0019039264763729134,0.017,wave_m_CausedBy_Taxa0795,Pleuronectiformes,492_Paralichthyidae,Paralichthyidae,Paralichthys olivaceus,ヒラメ,C,99.94,HIGH,S,demersal,10,200,17059,163
wave_m,Taxa0476,11,1,-3,12,440,440,0.9921655450104323,1.4551100099158103e-4,0.011,wave_m_CausedBy_Taxa0476,Perciformes,383_Pempheridae,Pempheridae,Pempheris schwenkii,ミナミハタンポ,C,99.99,LOW,S,reef-associated,5,40,47249,153
tide,Taxa0479,9,1,-2,10,461,461,1.0037140739693453,0.06640477948323058,0.011,tide_CausedBy_Taxa0479,Perciformes,391_Kyphosidae,Kyphosidae,Girella punctata,メジナ,C,100,HIGH,S,reef-associated,NA,NA,"953,938",532
tide,Taxa0664,10,1,-2,11,450,450,1.034911461854727,0.01992544547984467,0.0465,tide_CausedBy_Taxa0664,Perciformes,460_Gobiidae,Gobiidae,Chaenogobius annularis,アゴハゼ,C,99.99,HIGH,F,demersal,NA,NA,421791,471
tide,Taxa0207,11,1,0,12,439,439,1.0719312177501477,0.013618152433177155,0.0435,tide_CausedBy_Taxa0207,Atheriniformes,251_Atherinidae,Atherinidae,Atherion elymus,ムギイワシ,C,100,HIGH,S,reef-associated,0,3,"432,349",449
tide,Taxa0286,10,1,-5,11,450,450,1.0386353665577368,0.023151869879021562,0.027,tide_CausedBy_Taxa0286,Scorpaeniformes,304_Scorpaenidae,Scorpaenidae,Sebastes spp.,メバル属複合種群,C,99.4-100,LOW-MODERATE,S,demersal,9,600,112058,437
tide,Taxa0201,9,1,-6,10,461,461,1.046163949683915,0.020810885883494945,0.007,tide_CausedBy_Taxa0201,Mugiliformes,245_Mugilidae,Mugilidae,Mugil cephalus,ボラ,C,99.98,HIGH,FBS,benthopelagic,0,120,"302,196",416
tide,Taxa0505,11,1,-4,12,439,439,1.0249152159575154,0.021226725542862576,0.0495,tide_CausedBy_Taxa0505,Perciformes,405_Cheilodactylidae,Cheilodactylidae,Cheilodactylus zonatus,タカノハダイ,C,99.98,LOW,S,benthopelagic,NA,NA,76886,409
tide,Taxa0020,11,1,-5,12,439,439,1.0485529213123943,0.033243960907600956,0.003,tide_CausedBy_Taxa0020,Anguilliformes,079_Muraenidae,Muraenidae,Gymnothorax kidako,ウツボ,C,99.98,HIGH,S,reef-associated,2,350,217908,408
tide,Taxa0324,9,1,-2,10,461,461,0.9426111197148439,0.05503679143357325,0.0385,tide_CausedBy_Taxa0324,Scorpaeniformes,320_Cottidae,Cottidae,Pseudoblennius marmoratus,アヤアナハゼ,C,99.99,HIGH,S,demersal,NA,NA,154150,400
tide,Taxa0584,10,1,-5,11,450,450,0.5160657338702804,0.006400355254873147,0.021,tide_CausedBy_Taxa0584,Perciformes,445_Tripterygiidae,Tripterygiidae,Enneapterygius etheostomus,ヘビギンポ,C,99.97,HIGH,S,demersal,0,21,345006,378
tide,Taxa0477,10,1,-4,11,450,450,1.0011619877963809,0.029236652741407132,0.0025,tide_CausedBy_Taxa0477,Perciformes,391_Kyphosidae,Kyphosidae,Girella leonina,クロメジナ,C,100,HIGH,S,reef-associated,1,15,211932,363
tide,Taxa0599,11,1,-6,12,439,439,0.9948326673238663,0.013962856007182979,0.049,tide_CausedBy_Taxa0599,Perciformes,447_Blenniidae,Blenniidae,Omobranchus elegans,ナベカ,C,99.99,HIGH,S,demersal,NA,NA,101540,292
tide,Taxa0673,9,1,-1,10,461,461,1.0205787370512465,0.023508814853694354,0.045,tide_CausedBy_Taxa0673,Perciformes,460_Gobiidae,Gobiidae,Eviota abax,イソハゼ,C,99.99,HIGH,S,reef-associated,NA,NA,39048,274
tide,Taxa0336,11,1,-2,12,439,439,1.054812945008758,0.006702007620251298,0.037,tide_CausedBy_Taxa0336,Perciformes,332_Moronidae,Moronidae,Lateolabrax japonicus,スズキ,C,99.99,HIGH,FBS,reef-associated,5,NA,"169,249",260
tide,Taxa0708,11,1,-6,12,439,439,1.0341056200115646,0.006446794013973446,0.04,tide_CausedBy_Taxa0708,Perciformes,460_Gobiidae,Gobiidae,Pterogobius elapoides,キヌバリ,C,99.99,LOW,S,demersal,NA,NA,45808,256
tide,Taxa0765,11,1,-5,12,439,439,0.577287881870543,0.017267866228198536,0.005,tide_CausedBy_Taxa0765,Perciformes,470_Acanthuridae,Acanthuridae,Prionurus scalprum,ニザダイ,C,99.98,HIGH,S,reef-associated,NA,NA,101318,250
tide,Taxa0616,11,1,-3,12,439,439,0.8907094739737963,0.013959624062743231,0.005,tide_CausedBy_Taxa0616,Perciformes,450_Chaenopsidae,Chaenopsidae,Neoclinus bryope,コケギンポ,C,100,HIGH,S,demersal,NA,NA,128423,238
tide,Taxa0780,11,1,-1,12,439,439,1.1028093921832043,0.014704482106941114,0.035,tide_CausedBy_Taxa0780,Perciformes,475_Scombridae,Scombridae,Scomber spp.,マサバ・ゴマサバ複合種群,C,99.98,LOW,S,pelagic-neritic,87,200,100318,231
tide,Taxa0337,11,1,-1,12,439,439,0.7616893095000288,0.0064616008151034965,0.0165,tide_CausedBy_Taxa0337,Perciformes,332_Moronidae,Moronidae,Lateolabrax latus,ヒラスズキ,C,99.98,HIGH,S,demersal,NA,NA,"55,880",228
tide,Taxa0419,11,1,-2,12,439,439,1.0917844510959926,0.007204019866256586,0.035,tide_CausedBy_Taxa0419,Perciformes,364_Carangidae,Carangidae,Trachurus japonicus,マアジ,C,99.98-100,LOW-MODERATE,BS,pelagic-oceanic,0,1050,75049,208
tide,Taxa0480,10,1,-5,11,450,450,1.0456495182653873,0.03218610847254458,0.024,tide_CausedBy_Taxa0480,Perciformes,391_Kyphosidae,Kyphosidae,Kyphosus bigibbus,ノトイスズミ,C,99.99,HIGH,S,reef-associated,2,NA,42837,190
tide,Taxa0562,9,1,-6,10,461,461,1.076046211942863,0.009801531384131021,0.039,tide_CausedBy_Taxa0562,Perciformes,417_Stichaeidae,Stichaeidae,Zoarchias neglectus,コモンイトギンポ,C,100,HIGH,S,demersal,NA,NA,76164,181
tide,Taxa0795,11,1,0,12,439,439,1.0685719459266065,0.010265874219518314,0.036,tide_CausedBy_Taxa0795,Pleuronectiformes,492_Paralichthyidae,Paralichthyidae,Paralichthys olivaceus,ヒラメ,C,99.94,HIGH,S,demersal,10,200,17059,163
tide,Taxa0484,10,1,-2,11,450,450,1.062148000593839,0.024168234940738012,0.008,tide_CausedBy_Taxa0484,Perciformes,391_Kyphosidae,Kyphosidae,Microcanthus strigatus,カゴカキダイ,C,99.99,HIGH,BS,reef-associated,1,140,17813,159
tide,Taxa0016,11,1,-1,12,439,439,1.0887766405061898,0.010327786339032266,0.0175,tide_CausedBy_Taxa0016,Anguilliformes,079_Muraenidae,Muraenidae,Enchelycore pardalis,トラウツボ,C,99.97,HIGH,S,reef-associated,8,60,18932,153
tide,Taxa0476,11,1,-6,12,439,439,0.642707437118609,0.023849411998948633,0.034,tide_CausedBy_Taxa0476,Perciformes,383_Pempheridae,Pempheridae,Pempheris schwenkii,ミナミハタンポ,C,99.99,LOW,S,reef-associated,5,40,47249,153
tide,Taxa0208,10,1,-1,11,450,450,1.0957871906793692,0.045077225587970324,0.012,tide_CausedBy_Taxa0208,Atheriniformes,251_Atherinidae,Atherinidae,Hypoatherina tsurugae,ギンイソイワシ,C,99.99,HIGH,S,pelagic-neritic,NA,NA,94360,150
